epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.2334,1.00521,1.70086,1.09812,0.82919,0.81677,0.89379,0.6815,0.87766,1.33335,0.97695,0.000551221,0.000551221,0.000551221
2,33.8747,1.04188,1.09967,1.11079,0.77037,0.75096,0.85589,0.62476,0.92776,1.30375,1.04009,0.00109582,0.00109582,0.00109582
3,48.8399,1.04398,1.01275,1.13096,0.75995,0.83529,0.85228,0.64496,0.94898,1.28755,1.13446,0.0016293,0.0016293,0.0016293
4,64.0113,1.05725,0.94778,1.13908,0.6082,0.70365,0.67654,0.45753,0.9922,1.51791,1.13348,0.00161699,0.00161699,0.00161699
5,78.6649,1.00192,0.84392,1.11755,0.81229,0.86549,0.88755,0.65268,1.01782,0.89114,1.12979,0.00160032,0.00160032,0.00160032
6,93.7987,1.001,0.80925,1.13297,0.88867,0.91973,0.96063,0.73758,0.8782,0.70774,1.08466,0.00158365,0.00158365,0.00158365
7,108.581,0.95684,0.7512,1.09902,0.82628,0.88222,0.91063,0.71489,0.81959,0.87601,1.06328,0.00156698,0.00156698,0.00156698
8,123.763,0.94354,0.7148,1.08924,0.91064,0.90664,0.95673,0.74142,0.83227,0.66224,1.06328,0.00155031,0.00155031,0.00155031
9,138.295,0.93085,0.68836,1.10758,0.91538,0.91291,0.95452,0.75616,0.80563,0.65645,1.05483,0.00153364,0.00153364,0.00153364
10,153.254,0.92376,0.70636,1.09078,0.91802,0.88667,0.96889,0.7815,0.78204,0.64096,1.03389,0.00151697,0.00151697,0.00151697
11,167.76,0.89147,0.65945,1.07228,0.95651,0.9191,0.98231,0.77198,0.79515,0.55915,1.08515,0.0015003,0.0015003,0.0015003
12,182.755,0.87487,0.62363,1.05842,0.92448,0.93272,0.96787,0.78187,0.76683,0.54311,1.04683,0.00148363,0.00148363,0.00148363
13,197.375,0.87983,0.64863,1.06759,0.86934,0.85139,0.94063,0.762,0.76192,0.67335,1.03751,0.00146696,0.00146696,0.00146696
14,212.362,0.87414,0.63329,1.06445,0.89989,0.8783,0.91826,0.73465,0.74725,0.70933,1.02072,0.00145029,0.00145029,0.00145029
15,227.091,0.87395,0.62296,1.06659,0.94368,0.92556,0.97161,0.79288,0.75281,0.56552,1.01518,0.00143362,0.00143362,0.00143362
16,241.692,0.86607,0.59511,1.06575,0.88672,0.92242,0.97201,0.80137,0.75623,0.59503,1.01485,0.00141695,0.00141695,0.00141695
17,256.649,0.84704,0.58557,1.06282,0.94715,0.95959,0.9833,0.79603,0.72529,0.49887,1.02958,0.00140028,0.00140028,0.00140028
18,271.212,0.83155,0.57461,1.04894,0.87609,0.87579,0.93215,0.73231,0.85652,0.68419,1.06427,0.00138361,0.00138361,0.00138361
19,286.091,0.82448,0.5681,1.04537,0.93703,0.94614,0.9776,0.8066,0.72198,0.49226,1.035,0.00136694,0.00136694,0.00136694
20,300.575,0.81929,0.56619,1.03574,0.93327,0.90873,0.96042,0.78861,0.73134,0.54122,1.02939,0.00135027,0.00135027,0.00135027
21,315.386,0.81383,0.56376,1.04836,0.91567,0.92982,0.97362,0.7928,0.75652,0.53318,1.02725,0.0013336,0.0013336,0.0013336
22,329.935,0.83592,0.56911,1.0433,0.9299,0.92772,0.97254,0.80499,0.70862,0.5147,1.02486,0.00131693,0.00131693,0.00131693
23,344.714,0.82128,0.55143,1.04858,0.95756,0.94687,0.98145,0.82018,0.68109,0.4582,0.99386,0.00130026,0.00130026,0.00130026
24,359.284,0.80746,0.53358,1.03648,0.93674,0.94151,0.98197,0.81679,0.71594,0.49206,1.00094,0.00128359,0.00128359,0.00128359
25,374.086,0.80432,0.54122,1.03053,0.92685,0.95483,0.98127,0.8311,0.68908,0.45722,0.9981,0.00126692,0.00126692,0.00126692
26,388.547,0.78589,0.52413,1.03273,0.95692,0.9318,0.97159,0.81697,0.6989,0.48995,1.00244,0.00125025,0.00125025,0.00125025
27,403.402,0.78642,0.5329,1.02788,0.96855,0.91953,0.97631,0.81639,0.69,0.46321,1.00754,0.00123358,0.00123358,0.00123358
28,418.038,0.79775,0.5367,1.0384,0.98394,0.93162,0.98991,0.83538,0.68358,0.42583,0.99092,0.00121691,0.00121691,0.00121691
29,432.761,0.7867,0.51978,1.03183,0.94549,0.95528,0.97662,0.82267,0.66132,0.44483,0.98174,0.00120024,0.00120024,0.00120024
30,447.742,0.78183,0.52397,1.03518,0.95859,0.93499,0.98534,0.82915,0.67682,0.45059,0.98246,0.00118357,0.00118357,0.00118357
31,462.519,0.78014,0.50223,1.03293,0.96284,0.94307,0.98374,0.82867,0.68912,0.43605,0.99407,0.0011669,0.0011669,0.0011669
32,477.464,0.75873,0.49413,1.01601,0.95203,0.93703,0.98127,0.82267,0.68489,0.44962,1.00091,0.00115023,0.00115023,0.00115023
33,491.982,0.75768,0.49785,1.02263,0.95674,0.92785,0.98067,0.82937,0.66566,0.44458,0.97723,0.00113356,0.00113356,0.00113356
34,506.76,0.7513,0.48941,1.02155,0.94873,0.94029,0.98514,0.82755,0.65987,0.41657,0.98935,0.00111689,0.00111689,0.00111689
35,521.233,0.76132,0.49262,1.01743,0.90682,0.93628,0.9703,0.82334,0.67936,0.47076,0.98769,0.00110022,0.00110022,0.00110022
36,536.097,0.75022,0.48389,1.01886,0.94847,0.92944,0.98138,0.82839,0.67584,0.44012,0.9949,0.00108355,0.00108355,0.00108355
37,550.719,0.75341,0.49264,1.01982,0.91596,0.93547,0.97747,0.82236,0.67853,0.45587,0.99066,0.00106688,0.00106688,0.00106688
38,565.466,0.73995,0.48877,1.00997,0.94615,0.92434,0.98344,0.8317,0.67809,0.43785,0.98463,0.00105021,0.00105021,0.00105021
39,579.93,0.76375,0.48293,1.02669,0.95453,0.92637,0.98128,0.83206,0.67013,0.43657,0.99869,0.00103354,0.00103354,0.00103354
40,594.722,0.74199,0.47542,1.01336,0.92948,0.96897,0.98451,0.83164,0.66118,0.42352,0.98649,0.00101687,0.00101687,0.00101687
41,609.401,0.73534,0.47565,1.00804,0.9548,0.94692,0.98465,0.83182,0.6643,0.4026,0.98143,0.0010002,0.0010002,0.0010002
42,623.854,0.72602,0.4671,1.01028,0.96656,0.95918,0.98862,0.84569,0.65663,0.39353,0.97428,0.00098353,0.00098353,0.00098353
43,638.766,0.73857,0.48045,1.01212,0.97294,0.94968,0.98536,0.85179,0.63701,0.39756,0.97609,0.00096686,0.00096686,0.00096686
44,653.492,0.71812,0.46027,1.00689,0.96223,0.94187,0.98405,0.84842,0.6357,0.38937,0.9915,0.00095019,0.00095019,0.00095019
45,668.34,0.72669,0.45672,1.00636,0.96087,0.95186,0.98414,0.83308,0.66093,0.386,0.98874,0.00093352,0.00093352,0.00093352
46,682.765,0.73345,0.46867,1.01041,0.93887,0.96538,0.98365,0.8413,0.64412,0.41221,0.96878,0.00091685,0.00091685,0.00091685
47,697.504,0.70721,0.44739,0.99819,0.94614,0.96593,0.98592,0.84941,0.63707,0.37591,0.97114,0.00090018,0.00090018,0.00090018
48,712.242,0.71355,0.4474,1.00017,0.95245,0.95601,0.98833,0.83764,0.66342,0.39329,0.99586,0.00088351,0.00088351,0.00088351
49,727.083,0.70904,0.44191,1.00354,0.97503,0.92681,0.98728,0.84808,0.63473,0.38139,0.97309,0.00086684,0.00086684,0.00086684
50,741.617,0.71122,0.44572,1.00115,0.96872,0.95723,0.98726,0.85372,0.64087,0.38905,0.98909,0.00085017,0.00085017,0.00085017
51,756.642,0.6976,0.43609,0.99096,0.9729,0.93421,0.98764,0.85328,0.61673,0.38137,0.96905,0.0008335,0.0008335,0.0008335
52,771.616,0.70169,0.44071,0.99794,0.95921,0.93887,0.97101,0.83512,0.62497,0.41218,0.97616,0.00081683,0.00081683,0.00081683
53,786.553,0.68705,0.43551,0.99646,0.97087,0.94269,0.98642,0.85296,0.63833,0.37837,0.97354,0.00080016,0.00080016,0.00080016
54,801.364,0.69967,0.43518,0.99748,0.96521,0.93677,0.98229,0.8511,0.62916,0.38686,0.97164,0.00078349,0.00078349,0.00078349
55,815.96,0.69906,0.43864,0.99803,0.93617,0.96921,0.98898,0.85776,0.6213,0.37536,0.96753,0.00076682,0.00076682,0.00076682
56,831.056,0.68735,0.43436,0.98662,0.97568,0.93322,0.98987,0.86177,0.62151,0.36767,0.97135,0.00075015,0.00075015,0.00075015
