epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.8683,1.08956,2.16124,1.30007,0.71819,0.68866,0.76148,0.53525,0.98385,1.84718,1.31189,0.000551221,0.000551221,0.000551221
2,53.5435,1.17261,1.54023,1.30193,0.62517,0.55977,0.55968,0.34802,1.17243,2.45044,1.43951,0.00109582,0.00109582,0.00109582
3,77.9561,1.23454,1.37529,1.33358,0.66672,0.61406,0.68498,0.433,1.22046,1.4312,1.41406,0.0016293,0.0016293,0.0016293
4,102.309,1.19893,1.21818,1.30224,0.72785,0.78325,0.8217,0.59095,0.97482,1.07801,1.20918,0.00161699,0.00161699,0.00161699
5,127.155,1.18108,1.13701,1.2982,0.48347,0.43685,0.4162,0.20397,1.91911,2.52926,2.35902,0.00160032,0.00160032,0.00160032
6,151.274,1.13242,1.05919,1.26134,0.90264,0.67505,0.78894,0.58792,1.1059,1.45208,1.30029,0.00158365,0.00158365,0.00158365
7,175.599,1.09876,0.96504,1.23643,0.71322,0.66357,0.7002,0.50186,1.07706,1.73641,1.2584,0.00156698,0.00156698,0.00156698
8,199.883,1.05656,0.93302,1.21298,0.8665,0.84497,0.92042,0.70321,0.88893,0.75342,1.10472,0.00155031,0.00155031,0.00155031
9,224.266,1.05277,0.92254,1.22243,0.913,0.86299,0.94938,0.75834,0.80931,0.64348,1.0622,0.00153364,0.00153364,0.00153364
10,248.217,1.02731,0.89395,1.20411,0.90681,0.86132,0.91485,0.73264,0.79273,0.68334,1.05391,0.00151697,0.00151697,0.00151697
11,272.495,1.01861,0.85479,1.19443,0.87915,0.91431,0.95179,0.77033,0.76159,0.61991,1.01328,0.0015003,0.0015003,0.0015003
12,296.754,1.01752,0.84824,1.20073,0.93196,0.89104,0.95028,0.77913,0.74706,0.57797,1.01374,0.00148363,0.00148363,0.00148363
13,320.982,0.98874,0.83039,1.18018,0.94457,0.86022,0.95162,0.76352,0.78445,0.5952,1.03736,0.00146696,0.00146696,0.00146696
14,344.841,0.98924,0.79603,1.16856,0.8902,0.88355,0.94672,0.78721,0.73039,0.60006,0.98848,0.00145029,0.00145029,0.00145029
15,369.056,0.96794,0.77855,1.15713,0.86113,0.84977,0.92039,0.74949,0.75609,0.67488,1.0174,0.00143362,0.00143362,0.00143362
16,393.148,0.94149,0.76137,1.15017,0.89001,0.91484,0.95125,0.78558,0.72582,0.549,1.0113,0.00141695,0.00141695,0.00141695
17,417.349,0.95992,0.76279,1.15065,0.91345,0.89971,0.96113,0.78319,0.71744,0.56952,1.01017,0.00140028,0.00140028,0.00140028
18,441.056,0.94213,0.74627,1.15132,0.84889,0.87549,0.94285,0.78139,0.71228,0.62311,0.99384,0.00138361,0.00138361,0.00138361
19,465.536,0.94243,0.75271,1.15336,0.92035,0.89047,0.94906,0.77077,0.75612,0.55804,1.01571,0.00136694,0.00136694,0.00136694
20,489.802,0.94527,0.739,1.1543,0.92547,0.91577,0.95654,0.7874,0.69493,0.51833,0.98278,0.00135027,0.00135027,0.00135027
