epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.3904,0.90935,1.7632,1.14036,0.69825,0.62495,0.64907,0.40703,1.0797,1.93191,1.28038,0.000551221,0.000551221,0.000551221
2,84.736,0.99294,1.26711,1.16621,0.7884,0.69229,0.82997,0.58545,1.03773,1.53529,1.27705,0.00109582,0.00109582,0.00109582
3,124.456,1.03963,1.0948,1.17372,0.81694,0.75879,0.82003,0.57971,1.02415,1.3747,1.25095,0.0016293,0.0016293,0.0016293
4,163.089,1.02325,0.91714,1.16813,0.83266,0.79709,0.86409,0.64718,0.90942,1.10506,1.14972,0.00161699,0.00161699,0.00161699
5,202.452,0.99455,0.84983,1.14589,0.84507,0.7712,0.85036,0.62664,1.05817,1.01167,1.27538,0.00160032,0.00160032,0.00160032
6,241.64,0.98088,0.79354,1.13682,0.84342,0.7718,0.9156,0.68563,0.89851,0.98459,1.1258,0.00158365,0.00158365,0.00158365
7,280.851,0.93855,0.75686,1.11967,0.92589,0.87368,0.94004,0.7354,0.83637,0.74289,1.10326,0.00156698,0.00156698,0.00156698
8,319.61,0.91237,0.69014,1.11048,0.90258,0.91156,0.95287,0.76671,0.7588,0.56589,1.02674,0.00155031,0.00155031,0.00155031
9,358.235,0.89107,0.67593,1.09957,0.91355,0.92647,0.96425,0.77241,0.75083,0.54518,1.00726,0.00153364,0.00153364,0.00153364
10,397.209,0.88492,0.64658,1.09658,0.77054,0.88604,0.94005,0.739,0.8497,0.75579,1.0885,0.00151697,0.00151697,0.00151697
11,436.144,0.86659,0.60985,1.07912,0.8641,0.85134,0.91972,0.73919,0.78047,0.71445,1.04261,0.0015003,0.0015003,0.0015003
12,475.566,0.85381,0.61794,1.08312,0.9125,0.92177,0.97333,0.79698,0.74197,0.52868,1.00521,0.00148363,0.00148363,0.00148363
13,513.921,0.84495,0.59739,1.07406,0.91001,0.90533,0.96705,0.76836,0.77685,0.57794,1.02777,0.00146696,0.00146696,0.00146696
14,552.264,0.83501,0.58551,1.07977,0.84529,0.86859,0.93735,0.73972,0.82311,0.78194,1.07291,0.00145029,0.00145029,0.00145029
15,591.246,0.83266,0.58112,1.06237,0.91275,0.89902,0.94032,0.76125,0.74121,0.57956,1.01392,0.00143362,0.00143362,0.00143362
16,630.375,0.82679,0.57318,1.06805,0.91035,0.91674,0.96922,0.80235,0.7558,0.54956,1.01418,0.00141695,0.00141695,0.00141695
17,669.603,0.80957,0.56905,1.06352,0.96881,0.92935,0.97811,0.82104,0.70899,0.45166,0.99024,0.00140028,0.00140028,0.00140028
18,709.203,0.7995,0.53465,1.0512,0.95577,0.91154,0.97582,0.81277,0.71467,0.46872,0.98419,0.00138361,0.00138361,0.00138361
19,747.849,0.80853,0.54009,1.05743,0.93804,0.94835,0.97221,0.81413,0.69386,0.45474,0.99562,0.00136694,0.00136694,0.00136694
