epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,84.1686,1.20803,1.59956,1.4277,0.18205,0.49926,0.26831,0.11514,1.99515,11.7182,3.11847,0.000551221,0.000551221,0.000551221
2,167.585,1.4315,1.48172,1.55402,0.2749,0.3497,0.2612,0.10008,2.04189,8.23867,2.54657,0.00109582,0.00109582,0.00109582
3,250.363,1.44644,1.52117,1.56774,0.41998,0.50593,0.38786,0.19749,1.75596,4.63155,2.02019,0.0016293,0.0016293,0.0016293
4,332.858,1.3692,1.40674,1.49525,0.67725,0.42055,0.49655,0.26202,1.67607,2.3529,1.71293,0.00161699,0.00161699,0.00161699
5,415.692,1.28296,1.23805,1.43002,0.80214,0.73632,0.82238,0.56048,1.1731,1.26822,1.37885,0.00160032,0.00160032,0.00160032
6,498.268,1.26005,1.23329,1.43565,0.75257,0.71041,0.77121,0.55654,1.07426,1.65271,1.31439,0.00158365,0.00158365,0.00158365
7,580.752,1.21118,1.16894,1.3922,0.7882,0.57829,0.74551,0.52967,1.11438,1.60167,1.34001,0.00156698,0.00156698,0.00156698
8,663.268,1.15749,1.08231,1.36156,0.7211,0.70784,0.78684,0.56551,1.05014,1.07068,1.28831,0.00155031,0.00155031,0.00155031
9,745.854,1.13818,1.0431,1.33628,0.85956,0.83137,0.91027,0.63915,1.05368,0.83918,1.21591,0.00153364,0.00153364,0.00153364
10,828.437,1.13329,1.04903,1.34091,0.83019,0.82864,0.86492,0.64564,0.90827,1.05634,1.15857,0.00151697,0.00151697,0.00151697
11,911.033,1.10565,0.99469,1.31729,0.82064,0.75253,0.8358,0.64447,0.90052,0.95463,1.18822,0.0015003,0.0015003,0.0015003
12,993.456,1.08293,0.97625,1.31729,0.82893,0.80825,0.89387,0.70051,0.91961,0.80303,1.15124,0.00148363,0.00148363,0.00148363
13,1076.09,1.07496,0.95217,1.30962,0.86938,0.81212,0.90842,0.71375,0.86845,0.77028,1.09689,0.00146696,0.00146696,0.00146696
14,1158.74,1.05254,0.95185,1.30328,0.83257,0.84294,0.93157,0.75365,0.81689,0.78576,1.07671,0.00145029,0.00145029,0.00145029
15,1241.18,1.02325,0.88941,1.26922,0.86183,0.90074,0.93536,0.74295,0.81414,0.66351,1.07976,0.00143362,0.00143362,0.00143362
