epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.6369,1.14105,2.00917,1.30046,0.55167,0.60272,0.56152,0.35561,1.23571,2.13326,1.56708,0.000551221,0.000551221,0.000551221
2,81.6676,1.29136,1.30027,1.36975,0.53299,0.6355,0.57718,0.33299,1.39824,2.66572,1.56571,0.00109582,0.00109582,0.00109582
3,121.243,1.27564,1.27222,1.35764,0.22791,0.42015,0.20045,0.0931,2.06835,3.18466,2.02053,0.0016293,0.0016293,0.0016293
4,160.888,1.28788,1.22374,1.3499,0.77901,0.55308,0.71469,0.41384,1.33476,2.24489,1.47217,0.00161699,0.00161699,0.00161699
5,200.309,1.21769,1.11832,1.30004,0.84672,0.79456,0.88823,0.65701,0.96231,0.9396,1.22671,0.00160032,0.00160032,0.00160032
6,239.72,1.18887,1.07327,1.30521,0.79372,0.72928,0.83938,0.61348,1.06392,0.98982,1.28712,0.00158365,0.00158365,0.00158365
7,279.074,1.16751,1.06087,1.28152,0.87346,0.76268,0.87069,0.66902,0.93889,0.91537,1.21521,0.00156698,0.00156698,0.00156698
8,318.406,1.10444,0.97464,1.24945,0.84809,0.80439,0.87735,0.68095,0.88555,0.99081,1.12481,0.00155031,0.00155031,0.00155031
9,357.804,1.07251,0.91237,1.2209,0.6453,0.61797,0.63349,0.43585,1.08372,1.44627,1.30343,0.00153364,0.00153364,0.00153364
10,397.326,1.05488,0.8946,1.21746,0.89598,0.85189,0.92898,0.7353,0.84177,0.69701,1.10761,0.00151697,0.00151697,0.00151697
11,436.723,1.03876,0.8563,1.21224,0.76471,0.76828,0.86691,0.67743,0.86581,0.95028,1.11801,0.0015003,0.0015003,0.0015003
12,476.087,1.01317,0.84804,1.19726,0.87846,0.80552,0.92571,0.73078,0.86793,0.73735,1.08396,0.00148363,0.00148363,0.00148363
13,515.371,1.00709,0.82003,1.19452,0.90177,0.85584,0.94533,0.7561,0.80253,0.62451,1.07056,0.00146696,0.00146696,0.00146696
14,554.842,0.99384,0.82915,1.18177,0.90164,0.81941,0.92334,0.71186,0.90578,0.77285,1.11762,0.00145029,0.00145029,0.00145029
15,594.186,0.98875,0.79794,1.17902,0.92257,0.87079,0.95389,0.76161,0.79703,0.63593,1.05808,0.00143362,0.00143362,0.00143362
16,633.398,0.95159,0.76804,1.16047,0.91094,0.8841,0.96469,0.7816,0.77626,0.56924,1.03145,0.00141695,0.00141695,0.00141695
17,672.805,0.95292,0.75102,1.15527,0.92362,0.88603,0.95141,0.77525,0.74592,0.58544,1.03824,0.00140028,0.00140028,0.00140028
18,712.035,0.9445,0.75067,1.15746,0.94103,0.87471,0.96418,0.78662,0.76653,0.54139,1.0305,0.00138361,0.00138361,0.00138361
19,751.514,0.92831,0.72788,1.14429,0.9145,0.8943,0.93695,0.76032,0.76727,0.56871,1.03736,0.00136694,0.00136694,0.00136694
20,790.771,0.94932,0.75421,1.16854,0.87706,0.85253,0.93009,0.74915,0.80615,0.63643,1.06108,0.00135027,0.00135027,0.00135027
21,830.094,0.92425,0.72754,1.13996,0.90137,0.89318,0.94642,0.76623,0.75989,0.59815,1.05583,0.0013336,0.0013336,0.0013336
22,869.33,0.92577,0.72457,1.1464,0.91998,0.90276,0.97327,0.80179,0.74609,0.52803,1.00173,0.00131693,0.00131693,0.00131693
23,908.537,0.91788,0.70521,1.13828,0.94067,0.86932,0.94868,0.79067,0.74495,0.55126,1.01261,0.00130026,0.00130026,0.00130026
24,947.784,0.90497,0.6963,1.13137,0.96393,0.89859,0.97023,0.80744,0.7006,0.49013,0.98673,0.00128359,0.00128359,0.00128359
25,987.145,0.89326,0.67785,1.12731,0.92262,0.91988,0.97467,0.80741,0.70807,0.48512,0.99134,0.00126692,0.00126692,0.00126692
26,1026.43,0.90024,0.68892,1.13148,0.94225,0.92499,0.97149,0.80408,0.71367,0.47683,1.00692,0.00125025,0.00125025,0.00125025
27,1065.92,0.91777,0.69469,1.12722,0.92465,0.9071,0.96769,0.80442,0.70829,0.48551,0.99977,0.00123358,0.00123358,0.00123358
28,1105.07,0.91309,0.68519,1.13566,0.96319,0.87997,0.96533,0.80212,0.7173,0.49608,1.01781,0.00121691,0.00121691,0.00121691
29,1144.36,0.9123,0.69379,1.1355,0.91553,0.91156,0.97028,0.81311,0.70175,0.49771,0.9885,0.00120024,0.00120024,0.00120024
30,1183.68,0.87667,0.6556,1.11768,0.92859,0.90042,0.95457,0.7885,0.758,0.52806,1.01345,0.00118357,0.00118357,0.00118357
31,1222.84,0.87924,0.65258,1.12018,0.95003,0.90021,0.97777,0.81047,0.71834,0.46218,1.01243,0.0011669,0.0011669,0.0011669
